BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,630.64,0
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,114669.38,30064.44
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1400.15,4.1
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,48014.38,10870.74
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,37877.57,34386.25
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6166.53,735
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1310324.53,425353.77
H000874,2020 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1310324.53,425353.77
H000874,2020 HON. STENY H. HOYER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24465,15345
H000874,2020 HON. STENY H. HOYER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24465,15345
H000874,2020 HON. STENY H. HOYER,INTERN ALLOWANCES,OFFICE TOTALS:,24465,15345
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,88470.33,271.14
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,927826.51,273459.73
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,60642.99,34183.59
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,96751.97,15663.43
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,132659.14,6475.53
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21755.56,6143.13
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12421.03,5982.68
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9940.87,3608
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1350468.4,345787.23
H001067,2020 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1350468.4,345787.23
H001067,2020 HON. RICHARD HUDSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4422.22,0
H001067,2020 HON. RICHARD HUDSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4422.22,0
H001067,2020 HON. RICHARD HUDSON,INTERN ALLOWANCES,OFFICE TOTALS:,4422.22,0
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,623.82,0.66
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1175856.46,351766.52
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23389.01,4996.71
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,126689.24,33726.02
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,916.16,469.2
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26940,6885
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28616.51,14793.37
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10161,1019.43
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1393192.2,413656.91
H001068,2020 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1393192.2,413656.91
H001068,2020 HON. JARED HUFFMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24798.59,9244
H001068,2020 HON. JARED HUFFMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24798.59,9244
H001068,2020 HON. JARED HUFFMAN,INTERN ALLOWANCES,OFFICE TOTALS:,24798.59,9244
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2103.27,211.92
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1123267.25,351930.07
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,46050.99,14270.84
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,91249.27,19967.69
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2034.46,1074.06
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12507.45,5685
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33007.5,27266.51
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,19727.27,14182.59
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1329947.46,434588.68
H001058,2020 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1329947.46,434588.68
H001058,2020 HON. BILL HUIZENGA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6018.34,2266.67
H001058,2020 HON. BILL HUIZENGA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6018.34,2266.67
H001058,2020 HON. BILL HUIZENGA,INTERN ALLOWANCES,OFFICE TOTALS:,6018.34,2266.67
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3760.94,27.7
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1100790.78,266955.51
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2083.52,0
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,93009.24,23703.31
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1053.55,344.25
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29582.12,10254
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1881.05,88.68
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6746.16,861
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1238907.36,302234.45
H001048,2020 HON. DUNCAN HUNTER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1238907.36,302234.45
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,470.6,136.95
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1105371.26,356466.6
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19223.14,5190.6
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56155.45,14286.94
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3894.89,0
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35449.73,14063.4
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9714.31,2757.3
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4617.09,411
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1234896.47,393312.79
H001073,2020 HON. WILL HURD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1234896.47,393312.79
H001073,2020 HON. WILL HURD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24916.67,10493.34
H001073,2020 HON. WILL HURD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24916.67,10493.34
H001073,2020 HON. WILL HURD,INTERN ALLOWANCES,OFFICE TOTALS:,24916.67,10493.34
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,235.88,-34.35
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,794179.69,234128.72
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51982.83,12836.53
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,200998.76,51112.22
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2892.64,1437.76
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,97126.4,28507.79
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28584.94,14266.16
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7591.65,6676.37
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1183592.79,348931.2
J000032,2020 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1183592.79,348931.2
J000032,2020 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10574.23,0
J000032,2020 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,10574.23,0
J000032,2020 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,OFFICE TOTALS:,10574.23,0
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,28138.1,245.04
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,290574.41,197924.52
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9810.74,8053.82
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,43.82,14.46
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,32583.04,11042.15
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23870.82,617.67
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19743.42,12045.16
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23026.02,15723.69
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16361.48,7541.3
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,444151.85,253207.81
J000020,2020 HON. CHRIS JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,444151.85,253207.81
J000020,2020 HON. CHRIS JACOBS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6693.33,4493.33
J000020,2020 HON. CHRIS JACOBS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6693.33,4493.33
J000020,2020 HON. CHRIS JACOBS,INTERN ALLOWANCES,OFFICE TOTALS:,6693.33,4493.33
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,286.18,71.05
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1254893.99,342200.01
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9854.94,1343.99
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,115603.5,27478.78
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1834.68,334.84
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28815,11185
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,16210.94,9416.23
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9431.7,2047
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1436930.93,394076.9
J000298,2020 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1436930.93,394076.9
J000298,2020 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20948.32,6313.34
J000298,2020 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20948.32,6313.34
J000298,2020 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,OFFICE TOTALS:,20948.32,6313.34
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18246.71,39.6
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1019050.21,258999.96
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23030.61,3790.69
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,248140.61,44212.98
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23576.02,0
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36087.67,6105
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25115.38,2132.08
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22909.33,1322
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1416156.54,316602.31
J000294,2020 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1416156.54,316602.31
J000294,2020 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,23481.67,3845
J000294,2020 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,23481.67,3845
J000294,2020 HON. HAKEEM S. JEFFRIES,INTERN ALLOWANCES,OFFICE TOTALS:,23481.67,3845
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1428.51,280.16
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,960436.44,263852.74
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,30537.34,8091.71
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,101177.29,19239.51
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3464.29,243.69
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,13408.83,3028.92
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,27472.04,18973.36
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22792.33,5421.76
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1160717.07,319131.85
J000292,2020 HON. BILL JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1160717.07,319131.85
J000292,2020 HON. BILL JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3710,0
J000292,2020 HON. BILL JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3710,0
J000292,2020 HON. BILL JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,3710,0
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,52550.64,1681.63
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,928823.52,250466.2
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,37788.02,10741.16
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,61378.36,20437.87
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,79358.86,18463.77
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,6666.25,773.25
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,27426.18,20877.43
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,21407.65,12547.65
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1215399.48,335988.96
J000301,2020 HON. DUSTY JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1215399.48,335988.96
J000301,2020 HON. DUSTY JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7673.33,0
J000301,2020 HON. DUSTY JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7673.33,0
J000301,2020 HON. DUSTY JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,7673.33,0
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,337.9,68.49
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,812896.11,231153.28
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24619,4571.87
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,199868.35,56226.61
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1242.85,117
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5963.97,1535.01
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,26162.44,11189.38
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6421.87,4383.03
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1077512.49,309244.67
J000126,2020 HON. EDDIE BERNICE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1077512.49,309244.67
J000126,2020 HON. EDDIE BERNICE JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2399.98,0
J000126,2020 HON. EDDIE BERNICE JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2399.98,0
J000126,2020 HON. EDDIE BERNICE JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,2399.98,0
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,961.91,7.7
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1062066.65,293723.95
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17894.63,3428.85
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,127180.62,24357.54
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39705.12,9312.58
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,53479.61,12932
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,25380.93,3957.59
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,35624.95,2759.17
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1362294.42,350479.38
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1362294.42,350479.38
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,PERSONNEL COMPENSATION,14180,5400
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14180,5400
J000288,"2020 HON. HENRY C. ""HANK"" JOHNSON  JR.",INTERN ALLOWANCES,OFFICE TOTALS:,14180,5400
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,66967.85,1959.21
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,966347.81,222808.32
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,33133.84,9293.86
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,66138.78,5849.64
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,53854.99,4884.61
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9.49,0
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,38220.87,24878.09
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6186.91,2969
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1230860.54,272642.73
J000299,2020 HON. MIKE JOHNSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1230860.54,272642.73
J000299,2020 HON. MIKE JOHNSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1485.53,-320.43
J000299,2020 HON. MIKE JOHNSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1485.53,-320.43
J000299,2020 HON. MIKE JOHNSON,INTERN ALLOWANCES,OFFICE TOTALS:,1485.53,-320.43
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1006.47,266.55
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1021073.1,266495.04
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31638.29,7157.23
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27197.71,6948.62
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1150.49,278.9
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,400.7,0
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6576.14,3272.81
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,307.78,59.79
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1089350.68,284478.94
J000289,2020 HON. JIM JORDAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1089350.68,284478.94
J000289,2020 HON. JIM JORDAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5236.1,0
J000289,2020 HON. JIM JORDAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5236.1,0
J000289,2020 HON. JIM JORDAN,INTERN ALLOWANCES,OFFICE TOTALS:,5236.1,0
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,18414.39,2285.19
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,843553.25,243819.33
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26976.04,11235.95
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,29142.88,9078.93
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6131.39,5368
J000295,2020 HON. DAVID P. JOYCE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37154.11,13281.14
