BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,545062.47,288673.6
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12300,6366.67
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12300,6366.67
M001210,2020 HON. GREGORY FRANCIS MURPHY  MD,INTERN ALLOWANCES,OFFICE TOTALS:,12300,6366.67
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,32855.23,32741.81
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,481697.12,253674.96
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9054.89,2896.89
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,77995.92,52840.88
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,57086.77,56595.73
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,22239.48,11205
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5387.18,2280.21
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10846.86,5622.46
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,697163.45,417857.94
M001202,2020 HON. STEPHANIE N. MURPHY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,697163.45,417857.94
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4695.9,2070.76
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4695.9,2070.76
M001202,2020 HON. STEPHANIE N. MURPHY,INTERN ALLOWANCES,OFFICE TOTALS:,4695.9,2070.76
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,16570.26,16476.03
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,516529.66,264968.77
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11358.94,2642.35
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,76765.77,39191.69
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,19004.56,240
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20945.5,10647.72
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11378.52,728.35
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3644.8,1712.4
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,676198.01,336607.31
N000002,2020 HON. JERROLD NADLER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,676198.01,336607.31
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5277.77,69.44
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5277.77,69.44
N000002,2020 HON. JERROLD NADLER,INTERN ALLOWANCES,OFFICE TOTALS:,5277.77,69.44
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,40.4,31.1
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,549873.43,276583.38
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9855.93,2003.05
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,44126.62,22180.48
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,149.37,0
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11370,5685
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8554.71,278.44
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1248.9,651.96
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,625219.36,307413.41
N000179,2020 HON. GRACE F. NAPOLITANO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,625219.36,307413.41
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2293.33,2293.33
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2293.33,2293.33
N000179,2020 HON. GRACE F. NAPOLITANO,INTERN ALLOWANCES,OFFICE TOTALS:,2293.33,2293.33
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,296.69,243.14
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,495940.36,251155.59
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,5303.41,1655.75
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71095.84,41229.84
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,170,0
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24164.47,12452.73
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3237.35,1911.34
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1000.5,500.25
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,601208.62,309148.64
N000015,2020 HON. RICHARD R. NEAL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,601208.62,309148.64
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10860.54,3508.33
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,10860.54,3508.33
N000015,2020 HON. RICHARD R. NEAL,INTERN ALLOWANCES,OFFICE TOTALS:,10860.54,3508.33
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,24716.29,24496.38
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,498534.69,248437.48
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14271.67,2962.01
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,91920.85,55346.38
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,42199.95,517.51
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,23023.94,11630
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17662.66,1342.19
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11187.32,10840.16
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,723517.37,355572.11
N000191,2020 HON. JOE NEGUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,723517.37,355572.11
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6626.66,1733.33
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6626.66,1733.33
N000191,2020 HON. JOE NEGUSE,INTERN ALLOWANCES,OFFICE TOTALS:,6626.66,1733.33
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50361.09,36577.59
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,425435.58,209017.52
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,31113.66,9174.39
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,27038.89,20052.96
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,66500.36,40653.46
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3081.9,41.65
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8102.6,740.37
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2071.15,927.51
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,613705.23,317185.45
N000189,2020 HON. DAN NEWHOUSE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,613705.23,317185.45
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6442.91,1402.91
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,6442.91,1402.91
N000189,2020 HON. DAN NEWHOUSE,INTERN ALLOWANCES,OFFICE TOTALS:,6442.91,1402.91
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,24288.85,16688.28
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,419811.12,228105.55
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,3571.42,1626.86
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43478.45,27591.46
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,44739.29,7179.24
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3652.84,840.97
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8919.5,7807.25
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,548461.47,289839.61
N000188,2020 HON. DONALD NORCROSS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,548461.47,289839.61
N000188,2020 HON. DONALD NORCROSS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1820,1560
N000188,2020 HON. DONALD NORCROSS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,1820,1560
N000188,2020 HON. DONALD NORCROSS,INTERN ALLOWANCES,OFFICE TOTALS:,1820,1560
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11246.06,234.18
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,457204.75,228620.01
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7617.66,4424.79
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,58506.61,31859.78
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65107.92,50272.7
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,9746.71,4864.26
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6046.02,3333.03
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5885.19,2422.19
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,621360.92,326030.94
N000190,2020 HON. RALPH NORMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,621360.92,326030.94
N000190,2020 HON. RALPH NORMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5591.67,2166.67
N000190,2020 HON. RALPH NORMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5591.67,2166.67
N000190,2020 HON. RALPH NORMAN,INTERN ALLOWANCES,OFFICE TOTALS:,5591.67,2166.67
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,197.16,-66.72
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,501987.75,238938.31
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,129.15,0
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50788.78,27992.77
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2340.68,59.95
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12545.46,6484.98
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4545.82,1400.02
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2352,1176
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,574886.8,275985.31
N000147,2020 HON. ELEANOR HOLMES NORTON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,574886.8,275985.31
N000147,2020 HON. ELEANOR HOLMES NORTON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4648.34,-196.67
N000147,2020 HON. ELEANOR HOLMES NORTON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,4648.34,-196.67
N000147,2020 HON. ELEANOR HOLMES NORTON,INTERN ALLOWANCES,OFFICE TOTALS:,4648.34,-196.67
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3532.58,1208.68
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,375222.24,192800.01
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24596.53,13573.07
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,40510.89,21388.2
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,896.96,634.01
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,13980,7115
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5376.45,1914.74
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4704.62,3810.62
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,468820.27,242444.33
N000181,2020 HON. DEVIN NUNES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,468820.27,242444.33
N000181,2020 HON. DEVIN NUNES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7880.01,4620
N000181,2020 HON. DEVIN NUNES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,7880.01,4620
N000181,2020 HON. DEVIN NUNES,INTERN ALLOWANCES,OFFICE TOTALS:,7880.01,4620
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,493.66,145.2
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,524252.9,264823.27
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,36245.36,9791.51
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,38896.72,21169.67
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,101510.73,64722.94
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,12760,7670
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4173.1,1324.77
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,900,450
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,719232.47,370097.36
O000171,2020 HON. TOM O'HALLERAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,719232.47,370097.36
O000171,2020 HON. TOM O'HALLERAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5716.67,2850
O000171,2020 HON. TOM O'HALLERAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,5716.67,2850
O000171,2020 HON. TOM O'HALLERAN,INTERN ALLOWANCES,OFFICE TOTALS:,5716.67,2850
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,132.17,58.56
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,495316.02,245399.95
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2995.77,2784.29
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64670.24,36738.02
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,480.95,411
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25681.41,13137.46
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11446.87,4698.43
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6163.47,4512.55
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,606886.9,307740.26
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,606886.9,307740.26
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8876,3716
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,8876,3716
O000172,2020 HON. ALEXANDRIA OCASIO-CORTEZ,INTERN ALLOWANCES,OFFICE TOTALS:,8876,3716
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,228.59,-8.44
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,438981.78,220280.56
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14385.37,4933.37
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,9220.46,5942.82
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,149.54,5.74
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3800.5,3800.5
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4179.63,869.22
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6472.26,3991
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,477418.13,239814.77
O000168,2020 HON. PETE OLSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,477418.13,239814.77
O000168,2020 HON. PETE OLSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3453.7,1500
O000168,2020 HON. PETE OLSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,3453.7,1500
O000168,2020 HON. PETE OLSON,INTERN ALLOWANCES,OFFICE TOTALS:,3453.7,1500
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,253.3,91.14
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,512177.01,261574.1
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,10230.53,477.22
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,24266.73,20533.27
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,94.85,0
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,14772.07,7072.02
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13959.14,1047.75
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,842.28,437.79
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,576595.91,291233.29
O000173,2020 HON. ILHAN OMAR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,576595.91,291233.29
O000173,2020 HON. ILHAN OMAR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9000,4320
O000173,2020 HON. ILHAN OMAR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,9000,4320
O000173,2020 HON. ILHAN OMAR,INTERN ALLOWANCES,OFFICE TOTALS:,9000,4320
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21740.46,21101.5
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,427662.74,223503.06
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17570.85,4870.52
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,48698.99,27187.41
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,23999.43,22422.22
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25173.3,12186
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12372.62,8171.13
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1182,-5561.28
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,578400.39,313880.56
P000601,2020 HON. STEVEN M. PALAZZO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,578400.39,313880.56
P000601,2020 HON. STEVEN M. PALAZZO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12753.34,4166.68
P000601,2020 HON. STEVEN M. PALAZZO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,12753.34,4166.68
P000601,2020 HON. STEVEN M. PALAZZO,INTERN ALLOWANCES,OFFICE TOTALS:,12753.34,4166.68
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,47910.52,224.5
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,495566.14,249375.02
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,4455.04,1032
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,57709.5,33393.68
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,39130,0
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11010,5505
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1522.37,362.39
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1296,648
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,658599.57,290540.59
P000034,2020 HON. FRANK PALLONE  JR.,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,658599.57,290540.59
P000034,2020 HON. FRANK PALLONE  JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2500,0
P000034,2020 HON. FRANK PALLONE  JR.,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,2500,0
